Вопрос,Сложность,Провакационность,Неожиданность
В чем смысл жизни отдельной клетки тела?,3,1,3
Ты можешь узнать три любых факта прямо сейчас. Что выберешь?,1,1,2
Почему дети не умиляют других детей?,2,1,3
Что самое тяжелое в общении с людьми?,2,2,1
"Когда ты говоришь с самим собой, то ты ближе к тому, кто говорит, или тому, кто слушает?",3,2,3
Почему дети испытывают неконтролируемый страх чаще взрослых?,2,1,2
"Какой эксперимент доказал бы тебе, что свободы воли не существует?",3,2,3
"Как ты объяснил ребенку, что такое смерть?",2,2,2
"Если бы все умели определять интеллект друг друга с первого взгляда, то как изменился бы мир?",3,2,3
Наука или творчество. Что бы ты оставил в мире?,2,2,2
Кто принимает решение перевернуться на другой бок во время сна?,1,1,3
Как появляются смелые люди?,2,1,2
Беспилотный автомобиль сбивает ребенка. Кто должен сесть в тюрьму?,3,3,2
Чем стремление произвести хорошее впечатление отличается от манипуляции?,3,2,2
"Опиши агрессию, которая не связана со страхом.",3,2,3
"По какому ключевому признаку ты определяешь, что жив?",3,2,3
"Как изменилась твоя жизнь, если бы ты точно знал дату смерти?",3,3,2
"В каких случая двумя людьми можно пожертвовать, чтобы сохранить одного?",3,3,2
Может ли быть половина мысли?,3,1,3
Про что не написано книг?,2,1,3
О чем не стоит думать?,2,2,2
Безусловный доход - это хорошо или плохо?,2,2,1
Как проще всего убедить человека?,2,2,2
Что сегодня сдерживает научный прогресс?,3,2,1
Какая самая большая проблема в стране?,2,3,1
"Какая самая мудрая мысль, которую ты слышал?",2,1,2
Какое общественное правило тебе кажется самым глупым?,1,2,2
Назови самое большое изменение мира в будущем.,2,1,2
Объясни разницу между хорошим и превосходным.,2,1,2
"Почему ""Черный квадрат"" Малевича - это искусство?",2,2,2
Чем любовь отличается от влюбленности?,2,1,1
Почему 80% отношений распадаются?,2,2,1
Существует ли мировое правительство?,2,2,3
Социализм или капитализм?,2,3,1
"Как понять, что человек умный?",1,1,2
"Что ты изменил в своей жизни, если бы точно знал, что свободы выбора нет?",3,2,2
Сколько часов в день надо работать?,1,2,1
Что случится со страной за ближайшие десять лет?,2,3,1
"Почему девушки уделяют своей внешности больше времени, чем мужчины?",1,2,2
Что уничтожит цивилизацию?,2,2,2
"Расскажи коротко, как быть счастливым.",2,1,1
"Как ты принимаешь важные решения, когда сомневаешься?",2,1,1
Какой стереотип о женщинах самый глупый?,1,2,1
Какой стереотип о мужчинах самый глупый?,1,2,1
Какого открытия не хватает человечеству?,2,1,2
Какое изобретение человечества наделало больше всего зла?,2,2,2
Назови самый главный способ производить хорошее впечатление.,1,1,2
Назови самую большую тайну мирозданья.,2,1,2
Как бы мог выглядеть рай?,2,1,2
Что было первым: курица или яйцо?,1,1,3
На что можно поменять свободу?,3,2,2
Что важнее человека?,3,2,2
"Будущее будет лучше, чем настоящее?",1,1,1
Негодяи считают себя героями?,2,2,2
"Если никто не наблюдает событие, оно происходит?",3,1,3
"Будет ли время, когда не будет войны?",2,2,1
Что делает людей злыми?,2,2,1
Любовь - это выбор?,2,2,1
Что приходит с возрастом?,1,1,1
"Как можно описать чувство боли человеку, который ее никогда не испытывал?",3,1,3
Чем игра отличается от бытовых занятий?,2,1,2
Почему дети и родители не всегда могут понять друг друга?,2,1,1
Может ли любовь длиться вечно?,2,2,1
В каком возрасте человек должен определиться со своей профессией?,1,1,1
"Как ты узнаешь, что дружбе пришел конец?",2,2,1
Зачем жить праведно?,3,2,1
Человек управляет своими желаниями или желания управляют человеком?,3,2,2
Нужно ли рассказывать о своих мечтах?,1,1,1
"В кого ты выстрелишь: отвратительный ребенок, нормальная женщина, отличный мужчина?",3,3,3
Американцы летали на луну?,1,2,1
Почему снятся сны?,1,1,2
Ты в падающем самолете. Твои действия?,2,2,3
Как найти свое призвание?,2,1,1
Как принять себя?,2,2,1
Какие проблемы у просветленных?,3,2,3
Какой специалист получает самую большую зарплату?,1,1,2
