Вопрос,Сложность,Провакационность,Неожиданность
"Как бы ты ответил на вопрос ребенка: ""Что такое секс?""",1,2,2
"Как бы ты ответил на вопрос ребенка: ""Что такое мат?""",1,2,1
"Как бы ты ответил на вопрос ребенка: ""Что такое наркотики?""",1,2,1
Может ли пара быть счастливой без секса?,2,3,1
Ты хорошо занимаешься сексом?,1,3,2
Ты доволен своим телом?,1,3,1
Какая тебе больше всего нравится ласка партнера?,1,3,2
Ты ласковый человек?,1,2,1
Как ты себе поднимаешь настроение?,1,1,1
Расскажи о своем самом страшном публичном выступлении,1,2,1
В какой эмоции тебе сложнее всего признаться?,2,3,1
Как познакомились твои родители?,1,1,2
Поцелуи в общественных местах это нормально?,1,2,1
Что не так с твоими руками?,1,2,3
"Что бы ты выбрал, быть вдвое умнее или вдвое счастливее?",2,1,2
Какой факт о тебе мог бы удивить твоих родителей?,2,3,2
Что самое странное вытворяло твое домашнее животное?,1,1,2
В какие кружки ты ходил?,1,1,1
Самый неприятный возраст?,1,1,2
"Неочевидная черта, которая может оттолкнуть тебя от человека?",1,2,2
Ты когда либо вел дневник?,1,1,1
В твоей жизни был переломный момент?,2,2,1
На какой возраст ты себя ощущаешь?,1,1,2
Какое нестандартное домашнее животное ты хотел бы завести?,1,1,2
Почему люди ссорятся?,1,1,1
Любишь ли ты себя?,2,3,1
Ты можешь отправить послание себе в прошлое. Что ты скажешь?,2,2,2
Карьера или семья?,1,2,1
Тебя когда либо раздражали умные люди?,1,2,2
"Продолжи фразу: ""Мир полон...""",1,1,2
Чем плох гражданский брак?,1,2,1
О чем ты говоришь сам с собой?,2,2,2
Кем ты мечтал стать в детстве?,1,1,1
Какой странный предмет ты носишь всегда с собой?,1,1,3
Если бы в сутках было 25 часов. Куда бы потратил лишний час?,1,1,2
Назови три характеристики счастливой семьи.,1,1,1
Что сильнее всего мешает развитию отношений мужчины и женщины?,2,2,1
"Какая детская черта сохранилась, когда ты вырос?",1,1,2
Самое ожидаемое событие следующего года?,1,1,1
Как ты ладишь с сестрами или братьями?,1,1,1
За какой партой ты сидел в классе?,1,1,2
В какие приметы ты веришь?,1,1,1
Чем бы ты хотел заняться на пенсии?,1,1,1
Как ты побеждаешь лень?,1,1,1
Какая самая приятная часть твоего дня?,1,1,1
"Как понять, что у отношений нет будущего?",2,2,1
Что вгоняет тебя в тоску?,1,2,1
Как долго ты можешь быть в одиночестве?,1,1,1
Какое идеальное окончание первого свидания?,1,2,2
Какого цвета должно быть нижнее белье?,1,2,3
Когда ты последний раз целовался?,1,2,1
Кем бы ты хотел нарядиться на Хэллоуин?,1,1,2
Во что ты играл последний раз?,1,1,1
"Странное блюдо, которое ты любишь?",1,1,2
Какая у тебя была самая серьезная травма?,2,2,1
Сколько времени ты можешь провести без движения?,1,1,2
Из-за чего ты можешь полезть в драку?,2,3,1
Сколько ты можешь прожить без секса?,1,3,2
"Что первое бросается тебе в глаза, когда ты впервые знакомишься с человеком?",1,2,1
Тебе комфортнее с людьми младше или старше?,1,1,1
Какую ошибку ты больше всего боишься совершить?,2,2,1
Ты был ближе к отцу или к матери?,2,2,1
Как бы ты назвал свою яхту?,1,1,3
Сколько длился твой самый короткий роман?,1,2,1
"Назови книгу, которая есть у тебя дома",1,1,1
Кто из известных людей вдохновляет тебя?,1,1,1
Твой любимый день недели?,1,1,1
Сколько раз в неделю ты флиртуешь с людьми?,1,2,2
От какой вредной еды ты не можешь отказаться?,1,1,1
В чем тебя никто не может понять?,2,2,1
Кем бы ты никогда не хотел работать?,1,1,1
"Что ты делаешь в первую очередь, когда просыпаешься утром?",1,1,1
"Что ты делал, когда приходил из школы домой?",1,1,1
"Что ты можешь делать, одновременно разговаривая по телефону?",1,1,2
"Как ты понимаешь, что понравился человеку?",1,2,1
Что тебе нравится в современной моде?,1,1,1
Что тебе не нравится в современной моде?,1,1,1
В какое ТВ шоу ты хотел бы попасть?,1,1,2
"Когда ты впервые сделал что-то, в рамках твоей профессии?",1,1,1
Что тебе нравится в твоей профессии?,1,1,1
Какую коллекцию ты хотел бы собрать?,1,1,1
В каком фильме ты бы изменил конец?,1,1,2
Какая картина произвела на тебя самое большое впечатление?,1,1,1
"О чем ты вспоминаешь, когда тебе плохо?",2,2,1
"О чем ты вспоминаешь, когда тебе хорошо?",1,1,1
"Как тебе нравится, чтобы тебя будили?",1,2,2
Какая лучшая традиция твоей страны?,1,1,1
"Самый странный сувенир, который лежит у тебя дома?",1,1,2
Что значит твое имя?,1,1,2
