Вопрос,Сложность,Провакационность,Неожиданность
С каким заданием ты не справился на работе?,2,2,1
Что о тебе сказал бы твой предыдущий руководитель?,2,3,2
Как завоевать авторитет у новых коллег на работе?,1,1,1
"Какие три черты характера вспомнят твои друзья, описывая тебя?",2,2,1
Как ты воспринимаешь старение своих родителей?,3,2,1
Женщина или мужчина должен управлять землей?,1,2,1
Что тебя сильнее всего напугало в фильмах ужасов?,1,1,1
Оцени по десятибалльной шкале свои достижения в жизни.,2,3,1
Много приятелей или один близкий друг?,1,1,1
Какой поступок в твоей жизни лучше всего раскрывает твою личность?,2,2,2
Что ты потерял повзрослев?,2,2,1
"Расскажи о том, как ты читал чужую переписку.",1,3,2
Ты когда либо специально вредил другому человеку?,2,3,1
С кем из своих друзей ты бы поменялся местами?,1,2,2
Идеальное число людей на вечеринке?,1,1,1
"Кем из присутствующих ты бы пожертвовал, если бы это было необходимо?",3,3,3
Что должны делать люди на твоих похоронах?,2,2,3
Почему мы рискуем находясь с тобой в одной комнате?,1,3,3
Какое самое большое заблуждение бытует о тебе?,2,2,2
Что ты никак не можешь понять?,2,1,1
"Опиши способ манипуляции людьми, который ты используешь.",3,3,3
Можешь заставить подраться двух любых людей на земле. Кого выберешь?,1,3,3
О чем нельзя говорить в твоем присутствии?,2,3,2
Из-за чего ты можешь расплакаться?,2,3,1
С кем из знаменитостей ты хотел бы заняться сексом?,1,3,2
"Назови обещание, которое ты дал и не выполнил",2,3,1
"С какого моменты ты стал жить жизнью, которая тебе не нравится?",3,3,1
Разрешишь ли ты своей половинке заниматься сексом со знаменитостью?,1,3,3
"Что окружающие тебя сейчас люди думают о том, как ты одет?",1,2,3
Что ты умеешь делать лучше всех присутствующих?,1,2,2
Тебя заставляют сделать татуировку. Какую и где сделаешь?,1,2,3
Для какого занятия ты слишком стар?,1,2,2
Назови самого сексуальных актера и актрису.,1,3,2
Чьи мысли из присутствующих ты бы хотел прочесть?,1,2,2
"Как ты будешь справляться с болью, в случае смерти близкого человека?",3,3,1
"Что ты скажешь человеку, который должен сегодня умереть?",3,3,2
"Что ты скажешь человеку, который хочет покончить жизнь самоубийством?",3,3,1
"Что сказал бы ты маленький, себе настоящему?",3,2,2
Какую самую худшую работу тебе приходилось делать?,1,2,1
"Что ты посоветуешь человеку, который не может завести отношения?",2,2,1
Ты хотел бы оказаться в браке с предсказуемым или непредсказуемым человеком?,1,1,1
Твои родители смогли добиться мечты?,2,2,1
Как ты избавишься от трупа?,1,3,3
За что ты будешь гореть в аду?,2,3,3
